emp_no,dept_no,from_date,to_date
15001,d004,02-02-1985,01-01-9999
17389,d005,02-02-1985,01-01-9999
10550,d006,03-02-1985,01-01-9999
14955,d005,03-02-1985,22-11-1994
17037,d002,03-02-1985,01-01-9999
15322,d005,04-02-1985,01-01-9999
16305,d005,04-02-1985,01-01-9999
17434,d006,04-02-1985,01-01-9999
20235,d005,04-02-1985,01-01-9999
21470,d003,04-02-1985,14-05-1986
12406,d005,05-02-1985,26-03-1993
13684,d007,06-02-1985,30-03-2002
16887,d005,06-02-1985,01-01-9999
12965,d005,07-02-1985,30-08-1988
12447,d005,10-02-1985,01-01-9999
21324,d004,10-02-1985,23-05-2000
17905,d005,11-02-1985,01-01-9999
14996,d005,12-02-1985,01-01-9999
17421,d007,12-02-1985,01-01-9999
14227,d001,13-02-1985,02-10-1986
17632,d007,13-02-1985,01-01-9999
10583,d004,14-02-1985,29-05-1998
10195,d004,15-02-1985,14-04-2001
20869,d006,17-02-1985,01-03-1985
10009,d006,18-02-1985,01-01-9999
10137,d009,18-02-1985,01-01-9999
14508,d007,18-02-1985,01-01-9999
14554,d001,19-02-1985,01-01-9999
17424,d005,19-02-1985,01-01-9999
18316,d005,19-02-1985,01-01-9999
10253,d007,21-02-1985,20-03-1994
20380,d004,21-02-1985,01-01-9999
21081,d007,21-02-1985,01-01-9999
14899,d002,22-02-1985,27-11-1995
12307,d005,23-02-1985,01-01-9999
18079,d001,23-02-1985,01-01-9999
10048,d005,24-02-1985,27-01-1987
10571,d005,24-02-1985,01-01-9999
11678,d004,24-02-1985,20-09-1987
13437,d006,24-02-1985,07-02-1995
19248,d007,24-02-1985,01-01-9999
19202,d003,25-02-1985,31-12-1990
12679,d005,26-02-1985,01-01-9999
14934,d003,26-02-1985,01-01-9999
16832,d004,26-02-1985,23-01-1993
19454,d003,26-02-1985,01-01-9999
20638,d004,26-02-1985,01-01-9999
12280,d005,27-02-1985,01-01-9999
12815,d008,27-02-1985,01-01-9999
18904,d005,27-02-1985,24-05-1991
19901,d003,27-02-1985,01-01-9999
10905,d004,28-02-1985,07-03-1986
12025,d001,28-02-1985,09-06-1990
15954,d006,28-02-1985,04-07-1993
20247,d005,01-03-1985,10-04-2000
20808,d007,01-03-1985,01-01-9999
15655,d001,02-03-1985,15-12-1995
17332,d007,02-03-1985,01-01-9999
20384,d004,02-03-1985,01-01-9999
20670,d004,02-03-1985,01-01-9999
12773,d005,05-03-1985,01-01-9999
13001,d005,05-03-1985,05-10-2000
15096,d003,05-03-1985,01-01-9999
17444,d009,05-03-1985,01-01-9999
21465,d007,05-03-1985,01-01-9999
12279,d005,06-03-1985,20-03-2001
21261,d008,07-03-1985,01-01-9999
11227,d003,08-03-1985,01-01-9999
11402,d007,10-03-1985,01-01-9999
13272,d009,10-03-1985,01-01-9999
21268,d004,10-03-1985,01-01-9999
11949,d004,11-03-1985,01-01-9999
15709,d007,11-03-1985,01-01-9999
20368,d009,11-03-1985,01-01-9999
15343,d006,12-03-1985,01-01-9999
16323,d005,12-03-1985,24-09-1992
16803,d005,14-03-1985,01-01-9999
15975,d004,15-03-1985,01-01-9999
12803,d007,16-03-1985,30-08-1999
14659,d006,16-03-1985,01-01-9999
17182,d009,16-03-1985,01-01-9999
13124,d007,17-03-1985,01-01-9999
20013,d005,17-03-1985,01-01-9999
21354,d002,17-03-1985,05-12-1987
19230,d005,18-03-1985,04-01-1987
19805,d005,18-03-1985,01-01-9999
10380,d007,19-03-1985,01-01-9999
12115,d005,19-03-1985,01-01-9999
17097,d005,19-03-1985,26-03-1990
21640,d003,19-03-1985,01-01-9999
13537,d005,20-03-1985,01-01-9999
13846,d008,20-03-1985,01-01-9999
17261,d004,21-03-1985,01-01-9999
20043,d005,21-03-1985,01-01-9999
20048,d005,21-03-1985,31-12-1990
13552,d008,23-03-1985,01-01-9999
20521,d007,23-03-1985,01-01-9999
13074,d004,24-03-1985,01-01-9999
14057,d004,24-03-1985,01-01-9999
15026,d005,24-03-1985,01-01-9999
21257,d004,24-03-1985,01-01-9999
12076,d007,25-03-1985,01-01-9999
13208,d004,25-03-1985,01-01-9999
19653,d005,26-03-1985,01-01-9999
12206,d005,27-03-1985,01-01-9999
11162,d005,28-03-1985,01-01-9999
12570,d004,28-03-1985,01-01-9999
12658,d007,28-03-1985,17-08-1988
21263,d009,28-03-1985,26-09-1994
11109,d007,29-03-1985,01-01-9999
12722,d002,29-03-1985,01-01-9999
18649,d009,29-03-1985,01-01-9999
10739,d005,30-03-1985,01-01-9999
11157,d005,30-03-1985,06-02-1991
13280,d009,30-03-1985,01-01-9999
16107,d007,30-03-1985,01-01-9999
19146,d007,30-03-1985,01-01-9999
17496,d006,31-03-1985,01-01-9999
17848,d007,31-03-1985,01-01-9999
14092,d002,01-04-1985,01-01-9999
15731,d004,01-04-1985,01-01-9999
17790,d007,01-04-1985,01-01-9999
19435,d004,01-04-1985,09-06-1993
10453,d009,02-04-1985,01-01-9999
15883,d005,02-04-1985,01-01-9999
19195,d007,02-04-1985,01-01-9999
20929,d004,02-04-1985,01-01-9999
12907,d005,04-04-1985,15-05-1995
14980,d004,04-04-1985,13-05-1988
11942,d004,06-04-1985,01-01-9999
14118,d009,06-04-1985,01-01-9999
14345,d005,06-04-1985,15-07-1990
15860,d005,06-04-1985,11-06-2002
17312,d005,07-04-1985,01-01-9999
15802,d002,08-04-1985,01-01-9999
16315,d005,08-04-1985,28-12-1998
12247,d005,09-04-1985,01-01-9999
14593,d002,10-04-1985,01-01-9999
17089,d007,10-04-1985,01-01-9999
16084,d005,11-04-1985,04-12-1992
20068,d004,11-04-1985,01-01-9999
17461,d004,12-04-1985,01-01-9999
17668,d001,12-04-1985,01-01-9999
11603,d002,13-04-1985,01-01-9999
17844,d005,14-04-1985,14-01-1996
19950,d005,14-04-1985,01-01-9999
12816,d004,18-04-1985,08-09-1999
18943,d001,18-04-1985,01-01-9999
10848,d004,20-04-1985,01-01-9999
20904,d004,20-04-1985,29-04-1999
21001,d006,21-04-1985,01-01-9999
19171,d001,22-04-1985,01-01-9999
17318,d005,23-04-1985,01-01-9999
20690,d005,24-04-1985,01-01-9999
11284,d006,25-04-1985,01-01-9999
17643,d003,25-04-1985,01-01-9999
14450,d005,26-04-1985,30-12-1996
15600,d004,26-04-1985,01-01-9999
19758,d005,26-04-1985,01-01-9999
20055,d003,26-04-1985,01-01-9999
11184,d008,27-04-1985,01-01-9999
16365,d008,27-04-1985,01-01-9999
19846,d007,27-04-1985,19-08-1985
20583,d009,27-04-1985,01-01-9999
20421,d003,28-04-1985,28-12-1994
20571,d005,29-04-1985,01-01-9999
21639,d005,29-04-1985,01-01-9999
11393,d004,30-04-1985,01-01-9999
18212,d009,30-04-1985,01-01-9999
21469,d005,30-04-1985,01-01-9999
13444,d005,01-05-1985,01-01-9999
13476,d005,01-05-1985,01-01-9999
15399,d004,01-05-1985,01-01-9999
18084,d004,01-05-1985,01-01-9999
16024,d005,02-05-1985,01-01-9999
17745,d005,02-05-1985,01-01-9999
18402,d009,02-05-1985,01-01-9999
18686,d002,02-05-1985,01-01-9999
15956,d001,03-05-1985,01-01-9999
18127,d004,04-05-1985,05-07-1991
17954,d001,05-05-1985,01-01-9999
21636,d009,05-05-1985,01-01-9999
19826,d007,08-05-1985,01-01-9999
20398,d007,08-05-1985,01-01-9999
14293,d008,09-05-1985,12-09-1990
16739,d004,09-05-1985,01-01-9999
14005,d006,10-05-1985,04-10-1996
20418,d006,10-05-1985,01-01-9999
12481,d005,11-05-1985,01-01-9999
12823,d005,11-05-1985,01-01-9999
16389,d001,11-05-1985,29-12-1994
18644,d004,12-05-1985,01-01-9999
19987,d007,12-05-1985,12-01-1994
10098,d004,13-05-1985,29-06-1989
12069,d005,13-05-1985,01-01-9999
14590,d002,14-05-1985,28-12-1995
16852,d004,14-05-1985,23-02-1988
17549,d005,14-05-1985,25-02-2002
20901,d004,14-05-1985,01-01-9999
11295,d002,15-05-1985,01-01-9999
12510,d004,15-05-1985,01-01-9999
13959,d005,15-05-1985,09-02-1992
14768,d005,15-05-1985,01-01-9999
14923,d005,15-05-1985,01-01-9999
17322,d005,15-05-1985,10-09-1997
18036,d004,15-05-1985,01-01-9999
13056,d007,16-05-1985,04-12-1986
16462,d003,16-05-1985,01-01-9999
21692,d004,16-05-1985,01-01-9999
10258,d005,17-05-1985,01-01-9999
10753,d004,17-05-1985,25-08-1999
11670,d003,17-05-1985,01-01-9999
14928,d003,17-05-1985,01-01-9999
18023,d005,17-05-1985,01-01-9999
10978,d004,18-05-1985,01-01-9999
18450,d002,19-05-1985,01-01-9999
14054,d007,21-05-1985,15-11-1989
14560,d005,21-05-1985,01-01-9999
19228,d004,21-05-1985,01-01-9999
21509,d007,21-05-1985,31-07-1995
14822,d005,22-05-1985,24-10-2000
18687,d008,23-05-1985,15-09-1997
16397,d002,24-05-1985,01-01-9999
16536,d004,24-05-1985,13-04-1998
19126,d005,24-05-1985,29-08-1992
12048,d004,25-05-1985,01-01-9999
12341,d005,25-05-1985,01-01-9999
13146,d007,25-05-1985,01-01-9999
14488,d003,25-05-1985,01-01-9999
17454,d004,26-05-1985,01-01-9999
19637,d005,26-05-1985,01-01-9999
11178,d001,27-05-1985,24-01-1987
11375,d001,27-05-1985,01-01-9999
16451,d003,27-05-1985,01-01-9999
18061,d005,28-05-1985,24-08-1985
10644,d002,29-05-1985,19-07-1995
13969,d005,29-05-1985,01-01-9999
20888,d004,29-05-1985,01-01-9999
14376,d004,30-05-1985,01-01-9999
17442,d005,30-05-1985,01-01-9999
11486,d007,31-05-1985,01-01-9999
13814,d002,31-05-1985,12-11-1990
14669,d005,31-05-1985,01-01-9999
14531,d005,02-06-1985,01-01-9999
18262,d005,02-06-1985,01-01-9999
12157,d003,04-06-1985,01-01-9999
14356,d004,04-06-1985,01-01-9999
15033,d003,04-06-1985,01-01-9999
20528,d008,04-06-1985,01-01-9999
10469,d005,05-06-1985,26-12-1992
